recordType	id	kind	parentOrLineage	labelSr	labelEn	labelDe	externalAlignment	reviewReasons	approval
tag-profile	cel-x-gaulish	variety	Indo-European > Classical Indo-European > Celtic	галски			broader:celt1248	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	et	language	Uralic > Finnic > Coastal Finnic > Neva > Central Finnic > Estonian	естонски	Estonian	Estnisch	exact:esto1258	exact-iso-scope-mismatch	PENDING
tag-profile	ga-x-old	historical-stage	Indo-European > Classical Indo-European > Celtic > Nuclear Celtic > Core Celtic > Insular Celtic > Goidelic > Modern Goidelic > Irish	староирски	Old Irish		broader:iris1253	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	hr-x-kajkav	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Shtokavski > New Shtokavian > Eastern Herzegovinian Shtokavian > Croatian Standard	кајкавски			broader:croa1245	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	lt-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Eastern Baltic > Lithuanian	старолитвански	Old Lithuanian		broader:lith1251	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	vel	variety	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Altsächsisch > Middle-Modern Low German > Low German > West Low German > Westphalic > Veluws	вељотски	Veluws		exact:velu1238	non-cldr-german-label	PENDING
